id,x0,x1,x2,x3,x4,Intrusion,Mass,Penalized Mass
1,-1.04023303,4.94376769,-2.75650303,-2.50831712,2.06417749,47.29276,3.6418826880000035,3.6418826880000035
2,-2.4728497,-1.06577437,3.76416617,-1.24599202,4.53579209,46.08273,3.7633835520000103,3.7633835520000103
3,4.79990006,-1.83317911,-1.36080445,-0.45609578,0.74525654,46.75314,3.693389184000001,3.693389184000001
4,4.64063918,-0.6623419,2.65834602,-3.75061551,3.12442162,45.07677,3.8711727360000032,3.8711727360000032
5,4.89431161,-1.20473176,3.37482806,4.40051072,-4.97272932,44.90725,3.891984768000012,3.891984768000012
6,1.79609538,-3.20510035,0.83290491,-4.76287269,1.84545465,49.35872,3.4605982080000013,3.4605982080000013
7,4.28446754,-2.95901705,-3.3400695,-3.45310091,4.73472846,47.99848,3.5798544000000128,3.5798544000000128
8,2.9675917,-4.58000378,-0.33246468,-3.11370491,3.34571999,48.45394,3.537523584000002,3.537523584000002
9,-0.97361306,-3.32207932,4.9955649,0.13686427,-1.88430166,48.09253,3.5662654080000076,3.5662654080000076
10,1.9976399,3.66722091,-0.19006146,0.61111288,0.98534804,44.63041,3.9169992960000064,3.9169992960000064
11,-0.20931194,1.81287607,3.84921175,4.26691022,4.57012264,41.92921,4.22883936,4.22883936
12,-0.98548907,-1.45423326,-3.73904605,-4.63292502,-1.96119277,55.08112,3.059731584000011,5.2757439999999995
13,-1.74375163,-0.47268253,1.87777129,0.24793621,0.49824118,47.3536,3.629123136000001,3.629123136000001
14,1.91066999,-1.47176289,3.93730458,-1.7936795,-1.31768728,47.05894,3.6661628160000044,3.6661628160000044
15,0.44713263,3.64381553,3.81901547,4.49659109,-0.58584559,42.83324,4.122173376000002,4.122173376000002
16,-2.63652702,4.45043187,-1.63160017,4.61393908,2.70373891,44.46801,3.935518272000005,3.935518272000005
17,4.91473569,-1.70130333,-4.90285868,-3.08127184,-4.19720282,52.30273,3.224105856000012,4.720065999999999
18,-3.72000827,-3.32920734,-4.44946147,0.94651331,3.78923014,51.08799,3.3193618560000138,4.477117999999999
19,3.82914658,4.98265274,-2.58135829,-4.00519648,-3.94761485,48.46917,3.5371140480000007,3.5371140480000007
20,-0.22200894,4.86852638,-1.96712745,-3.13255548,-2.93132231,49.1528,3.4653104640000043,3.4653104640000043
21,2.2654538,2.09094731,-4.09562876,-3.75382522,-1.65346283,50.06522,3.389188608000013,4.272564
