,feature,value,min,max,normalized_value
0,disp.ratio_mean_02,0.6755494739936627,0.3839196211957979,1.3007520022658896,0.31808415455122296
1,ela_distr.skewness,0.1797229942025802,-2.763102312123164,19.993249558633128,0.12931885229404927
2,ela_meta.lin_simple.adj_r2,0.1988826459018912,-0.0284992195815307,1.0,0.22108122315925294
3,ela_meta.lin_simple.intercept,0.6506360640154544,0.0056260062726121,0.8720562074894659,0.7444454923627558
4,ela_meta.lin_simple.coef.max,0.3047262097868875,0.0004804319743781,0.1059901008888606,2.8835819592904435
5,ela_meta.quad_simple.adj_r2,0.2376408860674317,-0.0064834727826486,1.0,0.24255178097971536
6,ic.eps_ratio,-0.4754754754754753,-4.019019019019019,-0.8958958958958957,1.1346153846153846
7,ic.eps_s,0.7057057057057055,-1.5965965965965965,-0.1951951951951951,1.6428571428571426
8,nbc.nb_fitness.cor,-0.3511296349709901,-0.6294923117069361,-0.0839526909280438,0.5102519892845082
9,pca.expl_var_PC1.cov_init,0.2097624740152456,0.2042802381179599,0.2782429120164366,0.07412165634804886
10,ela_level.mmce_qda_25,0.1,0.01600001,0.3,0.2957746230906558
11,ela_level.lda_qda_25,2.3280000000000003,0.2702701789627774,6.447759991089553,0.3331012892967914
